seq,ip,sex(paid),age(paid),city(paid),wx_img(weixin),email,weixin_nickname,weixin_sex,weixin_addr,start,finish,browser,os,status,Q1,Q2_A1_open,Q3,Q4,Q5,Q6_A1,Q7_A1
1,223.104.190.122,,,,,,,,,12/12/2019 18:48,12/12/2019 18:49,Chrome 66.0.3359.126,Android Linux 10,1,1,22,2,2,1,10,4
2,182.239.117.251,,,,,,,,,12/12/2019 20:13,12/12/2019 20:14,Unknown Browser,iPhone iOS 12.4.1,1,2,22,1,2,1,0,0
3,218.189.105.254,,,,,,,,,12/12/2019 21:13,12/12/2019 21:14,Unknown Browser,iPhone iOS 13.1.3,1,2,22,3,2,1,9,9
4,113.220.54.34,,,,,,,,,12/12/2019 21:15,12/12/2019 21:17,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,2,1,9,9
5,221.3.64.141,,,,,,,,,12/12/2019 21:16,12/12/2019 21:17,Unknown Browser,iPhone iOS 13.0,1,2,19,4,2,4,1,7
6,103.57.12.159,,,,,,,,,12/12/2019 21:17,12/12/2019 21:18,Unknown Browser,iPhone iOS 11.3,1,2,25,4,2,2,0,5
7,223.104.246.188,,,,,,,,,12/12/2019 21:17,12/12/2019 21:18,Unknown Browser,iPhone iOS 12.4,1,1,25,1,2,1,1,1
8,101.78.248.70,,,,,,,,,12/12/2019 21:18,12/12/2019 21:19,Unknown Browser,iPhone iOS 13.0,1,1,22,4,2,2,8,9
9,117.136.45.158,,,,,,,,,12/12/2019 21:19,12/12/2019 21:20,Chrome 66.0.3359.126,Android Linux 9,1,1,22,1,2,1,7,3
10,125.70.170.138,,,,,,,,,12/12/2019 21:20,12/12/2019 21:21,Unknown Browser,iPhone iOS 13.1,1,2,21,3,2,1,8,7
11,111.30.111.74,,,,,,,,,12/12/2019 21:21,12/12/2019 21:22,Unknown Browser,iPhone iOS 13.3,1,1,21,1,2,1,5,3
12,112.12.250.226,,,,,,,,,12/12/2019 21:20,12/12/2019 21:22,Unknown Browser,iPhone iOS 12.4.3,1,2,21,3,2,3,5,5
13,117.136.79.24,,,,,,,,,12/12/2019 21:21,12/12/2019 21:22,Chrome 66.0.3359.126,Android Linux 9,1,2,23,2,2,4,5,5
14,111.30.229.219,,,,,,,,,12/12/2019 21:21,12/12/2019 21:22,Unknown Browser,iPhone iOS 12.4.1,1,2,22,1,2,1,0,10
15,116.24.103.245,,,,,,,,,12/12/2019 21:22,12/12/2019 21:23,Unknown Browser,iPhone iOS 13.1.3,1,1,23,2,2,2,5,5
16,111.30.111.76,,,,,,,,,12/12/2019 21:22,12/12/2019 21:24,Chrome 66.0.3359.126,Android Linux 9,1,2,21,1,2,2,6,8
17,120.244.230.50,,,,,,,,,12/12/2019 21:23,12/12/2019 21:24,Unknown Browser,iPhone iOS 12.4.1,1,2,22,3,2,3,8,8
18,218.26.55.231,,,,,,,,,12/12/2019 21:23,12/12/2019 21:24,Chrome 66.0.3359.126,Android Linux 9,1,1,23,1,2,1,8,7
19,111.30.111.80,,,,,,,,,12/12/2019 21:24,12/12/2019 21:24,Chrome 66.0.3359.126,Android Linux 9,1,2,19,3,2,1,10,6
20,223.104.4.88,,,,,,,,,12/12/2019 21:24,12/12/2019 21:24,Unknown Browser,iPhone iOS 13.1.2,1,2,20,3,2,3,0,8
21,220.115.23.40,,,,,,,,,12/12/2019 21:24,12/12/2019 21:25,Unknown Browser,iPhone iOS 13.1.3,1,2,18,3,2,2,8,4
22,111.30.111.87,,,,,,,,,12/12/2019 21:24,12/12/2019 21:25,Chrome 67.0.3396.87,Android Linux 9,1,2,21,3,2,1,10,10
23,221.178.124.242,,,,,,,,,12/12/2019 21:24,12/12/2019 21:25,Chrome 66.0.3359.126,Android Linux 9,1,1,22,1,2,1,0,0
24,113.252.208.210,,,,,,,,,12/12/2019 21:23,12/12/2019 21:25,Unknown Browser,iPhone iOS 12.4.1,1,2,23,4,2,4,6,4
25,125.33.49.117,,,,,,,,,12/12/2019 21:25,12/12/2019 21:27,Unknown Browser,iPhone iOS 13.1.3,1,2,23,3,2,3,8,8
26,111.198.58.90,,,,,,,,,12/12/2019 21:23,12/12/2019 21:27,Chrome 66.0.3359.126,Android Linux 10,1,2,23,3,2,3,7,3
27,117.136.54.167,,,,,,,,,12/12/2019 21:26,12/12/2019 21:27,Unknown Browser,iPhone iOS 12.1.2,1,2,20,1,2,1,7,7
28,171.214.137.179,,,,,,,,,12/12/2019 21:26,12/12/2019 21:28,Unknown Browser,iPhone iOS 13.2.3,1,2,23,1,2,1,3,8
29,112.96.198.140,,,,,,,,,12/12/2019 21:24,12/12/2019 21:28,Unknown Browser,iPhone iOS 12.2,1,2,24,1,2,1,2,6
30,113.100.28.164,,,,,,,,,12/12/2019 21:28,12/12/2019 21:30,Unknown Browser,iPhone iOS 12.0.1,1,2,23,3,2,3,4,2
31,111.193.3.184,,,,,,,,,12/12/2019 21:28,12/12/2019 21:30,Unknown Browser,iPhone iOS 13.1.2,1,2,22,3,2,1,8,8
32,114.92.111.6,,,,,,,,,12/12/2019 21:29,12/12/2019 21:30,Unknown Browser,IPad iOS 13.3,1,1,25,3,2,3,0,6
33,223.104.247.18,,,,,,,,,12/12/2019 21:28,12/12/2019 21:30,Unknown Browser,iPhone iOS 13.1.3,1,2,23,3,2,1,7,8
34,60.181.162.199,,,,,,,,,12/12/2019 21:28,12/12/2019 21:30,Chrome 66.0.3359.126,Android Linux 9,1,2,22,3,2,1,9,9
35,86.6.98.126,,,,,,,,,12/12/2019 21:29,12/12/2019 21:30,Unknown Browser,iPhone iOS 12.2,1,2,25,3,2,3,5,8
36,183.7.254.87,,,,,,,,,12/12/2019 21:30,12/12/2019 21:31,Unknown Browser,iPhone iOS 12.4.1,1,2,24,1,2,1,9,9
37,113.116.22.61,,,,,,,,,12/12/2019 21:30,12/12/2019 21:31,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,2,1,0,5
38,113.5.3.182,,,,,,,,,12/12/2019 21:30,12/12/2019 21:31,Unknown Browser,iPhone iOS 13.1.3,1,1,24,2,2,2,9,9
39,114.242.250.194,,,,,,,,,12/12/2019 21:30,12/12/2019 21:31,Unknown Browser,iPhone iOS 13.1.2,1,1,24,3,2,1,5,10
40,211.138.116.196,,,,,,,,,12/12/2019 21:31,12/12/2019 21:32,Chrome 66.0.3359.126,Android Linux 9,1,2,21,3,2,1,2,5
41,121.32.152.149,,,,,,,,,12/12/2019 21:31,12/12/2019 21:32,Unknown Browser,iPhone iOS 13.1.2,1,2,22,3,2,1,8,9
42,117.136.56.162,,,,,,,,,12/12/2019 21:30,12/12/2019 21:32,Unknown Browser,iPhone iOS 13.3,1,1,21,4,2,2,2,8
43,180.166.136.94,,,,,,,,,12/12/2019 21:31,12/12/2019 21:32,Unknown Browser,iPhone iOS 13.1.3,1,2,21,1,2,1,0,9
44,106.121.140.176,,,,,,,,,12/12/2019 21:33,12/12/2019 21:33,Chrome 66.0.3359.126,Android Linux 9,1,1,22,1,2,1,8,8
45,220.115.159.28,,,,,,,,,12/12/2019 21:32,12/12/2019 21:34,Chrome 66.0.3359.126,Android Linux 9,1,2,23,1,2,1,8,9
46,221.238.216.239,,,,,,,,,12/12/2019 21:33,12/12/2019 21:34,Unknown Browser,IPad iOS 13.2.2,1,2,22,1,2,1,0,5
47,125.62.6.236,,,,,,,,,12/12/2019 21:33,12/12/2019 21:34,Chrome 66.0.3359.126,Android Linux 9,1,2,22,2,2,2,2,5
48,203.145.95.145,,,,,,,,,12/12/2019 21:34,12/12/2019 21:35,Unknown Browser,iPhone iOS 13.1.3,1,1,25,4,2,3,0,0
49,123.117.98.90,,,,,,,,,12/12/2019 21:35,12/12/2019 21:36,Unknown Browser,iPhone iOS 12.4.1,1,2,28,1,2,1,8,5
50,124.236.146.53,,,,,,,,,12/12/2019 21:35,12/12/2019 21:36,Unknown Browser,iPhone iOS 13.1.3,1,2,29,1,2,1,10,5
51,121.17.206.142,,,,,,,,,12/12/2019 21:35,12/12/2019 21:36,Unknown Browser,iPhone iOS 13.1.3,1,1,22,3,2,3,0,5
52,1.28.185.112,,,,,,,,,12/12/2019 21:35,12/12/2019 21:37,Unknown Browser,iPhone iOS 11.4,1,2,23,3,2,1,10,5
53,124.64.81.193,,,,,,,,,12/12/2019 21:35,12/12/2019 21:37,Unknown Browser,iPhone iOS 13.2.3,1,2,nono,1,2,1,0,5
54,141.226.89.172,,,,,,,,,12/12/2019 21:35,12/12/2019 21:37,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,2,1,8,8
55,125.41.186.248,,,,,,,,,12/12/2019 21:37,12/12/2019 21:39,Chrome 66.0.3359.126,Android Linux 9,1,2,19,3,2,3,2,4
56,117.10.130.89,,,,,,,,,12/12/2019 21:39,12/12/2019 21:40,Chrome 66.0.3359.126,Android Linux 10,1,2,23,1,2,1,8,10
