seq,ip,sex(paid),age(paid),city(paid),wx_img(weixin),email,weixin_nickname,weixin_sex,weixin_addr,start,finish,browser,os,status,Q1,Q2_A1_open,Q3,Q4,Q5,Q6_A1,Q7_A1
1,221.124.103.214,,,,,,,,,2019-12-12 18:06:06,2019-12-12 18:07:10,Unknown Browser,iPhone iOS 13.2,1,2,21,3,,1,,
2,223.104.190.122,,,,,,,,,2019-12-12 20:26:41,2019-12-12 20:27:29,Chrome 66.0.3359.126,Android Linux 10,1,1,22,2,3,1,10.0,4.0
3,222.249.224.27,,,,,,,,,2019-12-12 21:15:27,2019-12-12 21:16:22,Chrome 66.0.3359.126,Android Linux 10,1,2,23,1,3,4,3.0,5.0
4,117.136.0.152,,,,,,,,,2019-12-12 21:15:57,2019-12-12 21:17:26,Chrome 66.0.3359.126,Android Linux 10,1,2,23,2,3,2,6.0,5.0
5,121.206.183.154,,,,,,,,,2019-12-12 21:17:23,2019-12-12 21:18:07,Chrome 67.0.3396.87,Android Linux 8.0.0,1,2,18,1,3,2,5.0,3.0
6,117.136.68.58,,,,,,,,,2019-12-12 21:17:08,2019-12-12 21:18:37,Unknown Browser,iPhone iOS 11.4.1,1,2,20,1,3,2,8.0,7.0
7,117.131.60.39,,,,,,,,,2019-12-12 21:18:15,2019-12-12 21:19:35,Unknown Browser,iPhone iOS 13.2.3,1,2,21,3,3,2,6.0,5.0
8,221.124.103.214,,,,,,,,,2019-12-12 21:18:39,2019-12-12 21:19:51,Unknown Browser,iPhone iOS 13.2,1,2,21,1,3,1,7.0,4.0
9,49.78.6.9,,,,,,,,,2019-12-12 21:19:12,2019-12-12 21:20:04,Unknown Browser,iPhone iOS 12.2,1,2,25,3,3,1,7.0,5.0
10,223.104.13.6,,,,,,,,,2019-12-12 21:19:32,2019-12-12 21:20:31,Chrome 66.0.3359.126,Android Linux 9,1,2,25,1,3,1,5.0,5.0
11,111.162.1.92,,,,,,,,,2019-12-12 21:19:50,2019-12-12 21:20:48,Chrome 66.0.3359.126,Android Linux 6.0,1,2,18,3,3,3,7.0,8.0
12,45.124.44.184,,,,,,,,,2019-12-12 21:20:22,2019-12-12 21:21:08,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,3,3,2.0,7.0
13,114.89.205.203,,,,,,,,,2019-12-12 21:20:00,2019-12-12 21:21:13,Chrome 66.0.3359.126,Android Linux 8.1.0,1,2,15,3,3,3,6.0,4.0
14,112.96.173.139,,,,,,,,,2019-12-12 21:20:31,2019-12-12 21:21:16,Unknown Browser,iPhone iOS 13.2.3,1,1,20,3,3,1,6.0,2.0
15,114.82.248.234,,,,,,,,,2019-12-12 21:21:13,2019-12-12 21:21:55,Unknown Browser,iPhone iOS 13.1.3,1,2,17,1,3,1,0.0,0.0
16,223.104.147.155,,,,,,,,,2019-12-12 21:21:26,2019-12-12 21:22:23,Chrome 66.0.3359.126,Android Linux 9,1,2,22,1,3,1,8.0,6.0
17,124.64.18.79,,,,,,,,,2019-12-12 21:21:31,2019-12-12 21:22:37,Unknown Browser,iPhone iOS 13.2.3,1,2,22,2,3,1,9.0,7.0
18,221.124.103.214,,,,,,,,,2019-12-12 21:21:44,2019-12-12 21:23:06,Chrome 67.0.3396.87,Android Linux 9,1,2,22,1,3,1,7.0,7.0
19,183.95.250.109,,,,,,,,,2019-12-12 21:22:40,2019-12-12 21:23:35,Chrome 66.0.3359.126,Android Linux 6.0.1,1,2,23,1,3,3,3.0,5.0
20,124.64.19.223,,,,,,,,,2019-12-12 21:23:00,2019-12-12 21:24:15,Unknown Browser,iPhone iOS 13.3,1,2,22,1,3,1,9.0,6.0
21,112.96.71.5,,,,,,,,,2019-12-12 21:22:05,2019-12-12 21:24:36,Unknown Browser,iPhone iOS 13.1.3,1,1,19,2,3,2,0.0,10.0
22,113.92.129.52,,,,,,,,,2019-12-12 21:24:16,2019-12-12 21:24:44,Unknown Browser,iPhone iOS 12.1.2,1,2,1,2,3,4,9.0,10.0
23,114.242.248.169,,,,,,,,,2019-12-12 21:23:58,2019-12-12 21:24:48,Unknown Browser,iPhone iOS 13.2.3,1,1,23,4,3,4,0.0,5.0
24,112.97.60.35,,,,,,,,,2019-12-12 21:23:38,2019-12-12 21:25:05,Unknown Browser,iPhone iOS 13.1.2,1,2,24,3,3,1,8.0,7.0
25,117.136.41.81,,,,,,,,,2019-12-12 21:23:22,2019-12-12 21:25:26,Unknown Browser,iPhone iOS 12.4.3,1,2,20,4,3,1,5.0,10.0
26,61.239.27.82,,,,,,,,,2019-12-12 21:23:55,2019-12-12 21:25:34,Unknown Browser,iPhone iOS 13.2.3,1,2,23,4,3,2,10.0,8.0
27,113.255.79.31,,,,,,,,,2019-12-12 21:25:09,2019-12-12 21:25:44,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,3,4,6.0,6.0
28,117.136.24.189,,,,,,,,,2019-12-12 21:24:48,2019-12-12 21:25:54,Chrome 67.0.3396.87,Android Linux 10,1,2,21,1,3,2,5.0,2.0
29,116.26.111.147,,,,,,,,,2019-12-12 21:25:58,2019-12-12 21:26:51,Unknown Browser,iPhone iOS 13.3,1,1,27,2,3,3,10.0,6.0
30,117.10.158.249,,,,,,,,,2019-12-12 21:26:33,2019-12-12 21:27:19,Chrome 66.0.3359.126,Android Linux 9,1,2,22,1,3,1,7.0,5.0
31,223.104.20.210,,,,,,,,,2019-12-12 21:27:26,2019-12-12 21:28:22,Unknown Browser,iPhone iOS 13.3,1,2,18,2,3,2,5.0,5.0
32,5.151.145.193,,,,,,,,,2019-12-12 21:27:22,2019-12-12 21:28:26,Unknown Browser,iPhone iOS 12.4,1,1,34,2,3,2,0.0,4.0
33,113.92.33.56,,,,,,,,,2019-12-12 21:27:15,2019-12-12 21:29:34,Chrome 67.0.3396.87,Android Linux 9,1,2,25,2,3,2,5.0,6.0
34,60.247.51.104,,,,,,,,,2019-12-12 21:27:18,2019-12-12 21:29:34,Chrome 66.0.3359.126,Android Linux 9,1,1,22,2,3,2,0.0,2.0
35,123.112.67.95,,,,,,,,,2019-12-12 21:28:50,2019-12-12 21:29:46,Chrome 67.0.3396.87,Android Linux 9,1,2,21,1,3,1,6.0,6.0
36,175.167.130.25,,,,,,,,,2019-12-12 21:29:09,2019-12-12 21:30:06,Unknown Browser,iPhone iOS 12.0,1,2,22,1,3,1,8.0,5.0
37,118.134.172.12,,,,,,,,,2019-12-12 21:30:23,2019-12-12 21:31:22,Chrome 53.0.2875.116,Windows Wechat,1,2,22,1,3,1,5.0,3.0
38,117.136.38.148,,,,,,,,,2019-12-12 21:30:25,2019-12-12 21:31:39,Chrome 66.0.3359.126,Android Linux 9,1,1,22,3,3,2,10.0,10.0
